Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput,avg_power,Throughput_per_watt_avg
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,128,1,0.8833770880009979,289.79696607176527,120882.0,0.002397354164158148
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,256,1,1.7602341840974987,290.8703879435854,146876.5,0.0019803739055845246
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,512,1,3.517994238063693,291.0749508684842,164507.31578947368,0.0017693738997053724
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,1024,1,6.942156264092773,295.0092049343462,184448.59375,0.0015994115158947705
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,2048,1,13.922137620858848,294.2076936420429,196339.43333333332,0.001498464616338964
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,128,16,1.3415621859021485,3053.157015785742,237607.7,0.01284957101889266
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,256,16,2.7359074279665947,2994.2533567696514,262561.6,0.011404003314916011
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,512,16,5.82596228714101,2812.239282111825,295396.7586206897,0.009520210361288828
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,1024,16,13.199807057157159,2482.4605282569364,301622.91228070174,0.008230344669395222
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,2048,16,31.527676000026986,2078.681600253184,300185.8769230769,0.0069246482264915124
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,128,32,1.7633108620066196,4645.805896458685,257294.54545454544,0.01805637149536631
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,256,32,3.617416600929573,4529.199096335705,295601.15789473685,0.015321993758727245
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,512,32,7.634937671944499,4291.849050766973,331212.5142857143,0.012957991819912605
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,1024,32,17.023753623943776,3849.679773785267,336469.8904109589,0.01144137969992896
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,2048,32,40.32200549705885,3250.631965951212,348414.8313253012,0.009329774951274175
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,128,64,2.2240634760819376,7366.696218969063,288679.6923076923,0.02551858137328618
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,256,64,4.659892807016149,7031.92141043738,327473.52173913043,0.021473251861990533
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,512,64,9.97619593818672,6569.237453440782,361032.29545454547,0.018195705858308344
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,1024,64,22.502769583836198,5824.705244022468,375078.44680851063,0.015529298720265212
Nvidia A100 GPU,1,vLLM,openai/gpt-oss-20b,2048,64,54.71078497101553,4791.450170910135,386829.6846846847,0.012386459366001799
